Frecuencias,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2,Transferencia,Atenuacion,Corriente,Error VCH1,Error VCH2,Error T,Error A
10.0,5.04,0.696,0.08,0.008,0.13809523809523808,-17.196425936699264,0.0007018959257765227,0.0025,0.00025,0.0044348280296195395,0.2789410218656992
11.753722651306362,5.04,0.86,0.08,0.02,0.17063492063492064,-15.358641704039151,0.0008672851956434046,0.0025,0.000625,0.005156558633186826,0.26248612554460954
13.814999616383224,4.96,0.98,0.08,0.02,0.1975806451612903,-14.085112015954053,0.0009883017345703913,0.0025,0.000625,0.00411418744275934,0.18086477068110038
16.237767391887218,4.96,1.1400000000000001,0.08,0.02,0.22983870967741937,-12.771536503074497,0.0011496571198063737,0.0025,0.000625,0.003240225843744057,0.12245214968648117
19.08542144006686,4.96,1.3,0.08,0.02,0.2620967741935484,-11.630766483667214,0.0013110125050423559,0.0025,0.000625,0.0026576216769579734,0.08807360814269229
22.432475028984197,5.04,1.52,0.08,0.02,0.30158730158730157,-10.411738970015056,0.0015328761597418314,0.0025,0.000625,0.0021363566170292665,0.06152831271542997
26.366508987303583,4.96,1.74,0.08,0.02,0.35080645161290325,-9.098648564151954,0.0017547398144413069,0.0025,0.000625,0.0017642958655760712,0.04368357282721228
30.9904633919943,4.96,2.0,0.08,0.04,0.40322580645161293,-7.889033616524324,0.002016942315449778,0.0025,0.00125,0.0019912307751739876,0.04289311467755827
36.42533115449638,5.04,2.2800000000000002,0.08,0.04,0.45238095238095244,-6.8899137889014295,0.0022993142396127474,0.0025,0.00125,0.0016343262071221484,0.031379696675880885
42.81332398719396,4.96,2.56,0.08,0.04,0.5161290322580645,-5.744834223566958,0.002581686163775716,0.0025,0.00125,0.0013596599981656168,0.022881597335631623
50.32159359259993,4.96,2.84,0.08,0.04,0.5725806451612903,-4.843266728863196,0.0028640580879386846,0.0025,0.00125,0.0011686703773331664,0.01772840560814326
59.14660544591752,4.96,3.12,0.08,0.04,0.6290322580645161,-4.026541649435094,0.003146430012101654,0.0025,0.00125,0.0010235797754011464,0.014133934867260636
69.51927961775608,4.96,3.44,0.08,0.04,0.6935483870967741,-3.1784646783733477,0.0034691407825736182,0.0025,0.00125,0.000895913891339817,0.011220283011488292
